circle_id,point_index,python_x_psi,matlab_x_psi,x_absolute_error_psi,x_relative_error,python_y_psi,matlab_y_psi,y_absolute_error_psi,y_relative_error
circle2,45,1821.1574191366426,1821.2,0.04258086335744338,2.3380662946103324e-05,494.9107209404663,494.91,0.0007209404662944507,1.4567102428612286e-06
circle2,46,1805.4190999505054,1805.4,0.019099950505278684,1.0579345577311777e-05,496.9192322306271,496.92,0.0007677693729419843,1.545056292646672e-06
circle2,47,1789.6249784283941,1789.6,0.024978428394206276,1.3957548275707575e-05,498.4273879759712,498.43,0.002612024028792348,5.240503237751235e-06
circle2,48,1773.790957911871,1773.8,0.00904208812903562,5.097580408747108e-06,499.433669591504,499.43,0.0036695915039786087,7.3475592254742575e-06
circle2,49,1757.932981917404,1757.9,0.032981917403958505,1.876211240910092e-05,499.9370638369375,499.94,0.00293616306248623,5.873030888679102e-06
circle2,50,1742.067018082596,1742.1,0.032981917403958505,1.8932275646609556e-05,499.9370638369375,499.94,0.00293616306248623,5.873030888679102e-06
circle2,51,1726.209042088129,1726.2,0.00904208812903562,5.238146291875576e-06,499.433669591504,499.43,0.0036695915039786087,7.3475592254742575e-06
circle2,52,1710.3750215716059,1710.4,0.024978428394206276,1.4603851961065408e-05,498.4273879759712,498.43,0.002612024028792348,5.240503237751235e-06
circle2,53,1694.5809000494946,1694.6,0.019099950505278684,1.1271067216616715e-05,496.9192322306271,496.92,0.0007677693729419843,1.545056292646672e-06
circle2,54,1678.8425808633574,1678.8,0.04258086335744338,2.5363869047798057e-05,494.9107209404663,494.91,0.0007209404662944507,1.4567102428612286e-06
circle2,55,1663.1759111665347,1663.2,0.024088833465384596,1.4483425604488093e-05,492.403876506104,492.4,0.003876506104006694,7.872676896845438e-06
circle2,56,1647.5966659674045,1647.6,0.003334032595375902,2.0235691887447817e-06,489.4012231073894,489.4,0.0012231073894213296,2.499197771600592e-06
circle2,57,1632.1205322452865,1632.1,0.020532245286631223,1.2580261801746966e-05,485.90578416177084,485.91,0.00421583822918592,8.676170955909364e-06
circle2,58,1616.7630931549825,1616.8,0.03690684501748365,2.282709365257524e-05,481.921079279971,481.92,0.001079279971008873,2.2395417725117716e-06
circle2,59,1601.5398123358627,1601.5,0.03981233586273447,2.4859404222750216e-05,477.45112072203693,477.45,0.0011207220369442439,2.3473076488516994e-06
circle2,60,1586.4660183412893,1586.5,0.03398165871067249,2.141926171488969e-05,472.5004093573342,472.5,0.0004093573342061063,8.663647284785319e-07
circle2,61,1571.5568892040642,1571.6,0.04311079593571776,2.743115037905177e-05,467.07393013255336,467.07,0.003930132553364274,8.41444013395053e-06
circle2,62,1556.8274371534358,1556.8,0.027437153435812434,1.7624070809232036e-05,461.1771470522907,461.18,0.0028529477093002242,6.186191312069526e-06
circle2,63,1542.292493499057,1542.3,0.007506500943009087,4.86708224276022e-06,454.81599767725925,454.82,0.004002322740745967,8.79979495348922e-06
circle2,64,1527.966693697113,1528.0,0.03330630288701286,2.1797318643333024e-05,447.9968871456679,448.0,0.0031128543320733115,6.948335562663642e-06
circle2,65,1513.8644626136588,1513.9,0.03553738634127512,2.3474064562570262e-05,440.72668172379105,440.73,0.003318276208972293,7.529045467683826e-06
circle2,66,1500.0,1500.0,0.0,0.0,433.0127018922193,433.01,0.002701892219306501,6.23979173530981e-06
circle2,67,1486.387266194749,1486.4,0.01273380525117318,8.566876514513711e-06,424.8627149747571,424.86,0.0027149747571115768,6.390280932805104e-06
circle2,68,1473.0399680669448,1473.0,0.03996806694476618,2.7133786113215328e-05,416.2849273173857,416.28,0.00492731738575003,1.183654604052568e-05
circle2,69,1459.971545214401,1460.0,0.028454785599024035,1.9489579177413724e-05,407.28797602516784,407.29,0.0020239748321841944,4.969370306622295e-06
circle2,70,1447.1951564311667,1447.2,0.004843568833393874,3.3468551916762536e-06,397.88092026541597,397.88,0.000920265415970789,2.3129220266683145e-06
circle2,71,1434.7236664577385,1434.7,0.023666457738499957,1.6495753633860708e-05,388.07323214587836,388.07,0.003232145878371284,8.328770269207318e-06
